time,temperature_2m (°F),relativehumidity_2m (%),cloudcover (%),direct_radiation (W/m²),diffuse_radiation (W/m²)
2020-12-01T00:00,45.8,56,0,0,0
2020-12-01T01:00,44.2,67,0,0,0
2020-12-01T02:00,42.3,69,0,0,0
2020-12-01T03:00,40.5,70,0,0,0
2020-12-01T04:00,37.1,72,0,0,0
2020-12-01T05:00,37.5,69,0,0,0
2020-12-01T06:00,39.1,67,0,0,0
2020-12-01T07:00,37.9,69,0,0,0
2020-12-01T08:00,41.7,65,0,44,24
2020-12-01T09:00,48,50,0,175,54
2020-12-01T10:00,52.7,47,0,310,68
2020-12-01T11:00,55.8,42,0,409,76
2020-12-01T12:00,57.9,37,0,456,78
2020-12-01T13:00,61.1,35,0,444,78
2020-12-01T14:00,61.9,34,0,376,73
2020-12-01T15:00,62.3,33,0,261,63
2020-12-01T16:00,60.9,40,0,118,46
2020-12-01T17:00,56,40,0,13,10
2020-12-01T18:00,51.7,46,0,0,0
2020-12-01T19:00,46.4,58,0,0,0
2020-12-01T20:00,44.4,65,0,0,0
2020-12-01T21:00,43.6,68,0,0,0
2020-12-01T22:00,43.2,70,0,0,0
2020-12-01T23:00,43.2,72,0,0,0
2020-12-02T00:00,45,71,0,0,0
2020-12-02T01:00,40.7,78,0,0,0
2020-12-02T02:00,40.7,79,1,0,0
2020-12-02T03:00,40.9,78,3,0,0
2020-12-02T04:00,39.6,79,7,0,0
2020-12-02T05:00,39.4,78,7,0,0
2020-12-02T06:00,39.3,79,6,0,0
2020-12-02T07:00,39.3,76,6,0,0
2020-12-02T08:00,42.1,72,0,42,24
2020-12-02T09:00,48.5,59,0,173,54
2020-12-02T10:00,53.3,46,0,308,68
2020-12-02T11:00,57.3,41,0,411,75
2020-12-02T12:00,61.7,36,0,458,78
2020-12-02T13:00,65.1,30,2,446,78
2020-12-02T14:00,66.2,28,0,378,73
2020-12-02T15:00,66.6,28,0,263,63
2020-12-02T16:00,63,32,0,120,45
2020-12-02T17:00,56.9,38,1,13,10
2020-12-02T18:00,54.9,41,4,0,0
2020-12-02T19:00,49.4,50,7,0,0
2020-12-02T20:00,49.3,51,9,0,0
2020-12-02T21:00,48.1,53,5,0,0
2020-12-02T22:00,45.9,59,0,0,0
2020-12-02T23:00,44.2,66,0,0,0
2020-12-03T00:00,44.4,67,0,0,0
2020-12-03T01:00,42.7,64,0,0,0
2020-12-03T02:00,44.1,67,0,0,0
2020-12-03T03:00,41.2,71,0,0,0
2020-12-03T04:00,38.5,78,0,0,0
2020-12-03T05:00,37.4,78,0,0,0
2020-12-03T06:00,37.9,75,0,0,0
2020-12-03T07:00,38.7,71,0,0,0
2020-12-03T08:00,43.7,54,0,41,23
2020-12-03T09:00,54.3,44,0,171,54
2020-12-03T10:00,59.3,28,0,308,67
2020-12-03T11:00,62.2,22,0,408,75
2020-12-03T12:00,64.8,21,0,456,78
2020-12-03T13:00,67.6,16,0,446,77
2020-12-03T14:00,70.2,16,0,378,73
2020-12-03T15:00,70.2,15,0,263,63
2020-12-03T16:00,69.3,13,0,120,45
2020-12-03T17:00,65.4,16,1,13,10
2020-12-03T18:00,54.7,25,4,0,0
2020-12-03T19:00,49.8,35,10,0,0
2020-12-03T20:00,48.1,39,14,0,0
2020-12-03T21:00,47.6,41,8,0,0
2020-12-03T22:00,46.3,47,16,0,0
2020-12-03T23:00,45.3,51,21,0,0
2020-12-04T00:00,45.4,51,26,0,0
2020-12-04T01:00,43,56,18,0,0
2020-12-04T02:00,43.8,59,28,0,0
2020-12-04T03:00,43.3,63,29,0,0
2020-12-04T04:00,41.7,62,19,0,0
2020-12-04T05:00,39.7,64,10,0,0
2020-12-04T06:00,38.1,71,16,0,0
2020-12-04T07:00,36.9,73,0,0,0
2020-12-04T08:00,41.1,60,0,40,22
2020-12-04T09:00,49,45,0,169,53
2020-12-04T10:00,53.7,30,0,304,68
2020-12-04T11:00,56.4,29,0,405,75
2020-12-04T12:00,61.9,26,0,452,78
2020-12-04T13:00,65.3,22,0,442,77
2020-12-04T14:00,66.7,20,0,375,72
2020-12-04T15:00,67.5,18,0,260,63
2020-12-04T16:00,64.3,23,0,118,45
2020-12-04T17:00,58.2,27,0,12,11
2020-12-04T18:00,53.2,34,0,0,0
2020-12-04T19:00,45.7,45,0,0,0
2020-12-04T20:00,44.8,50,0,0,0
2020-12-04T21:00,43.4,54,0,0,0
2020-12-04T22:00,43.2,56,2,0,0
2020-12-04T23:00,42.4,59,8,0,0
2020-12-05T00:00,42.4,61,11,0,0
2020-12-05T01:00,40.9,66,15,0,0
2020-12-05T02:00,41.3,67,14,0,0
2020-12-05T03:00,40.9,70,1,0,0
2020-12-05T04:00,37.8,76,7,0,0
2020-12-05T05:00,37.3,76,10,0,0
2020-12-05T06:00,40.1,69,9,0,0
2020-12-05T07:00,39.7,65,0,0,0
2020-12-05T08:00,43.4,65,0,39,21
2020-12-05T09:00,49.9,46,0,167,53
2020-12-05T10:00,55.4,36,0,303,68
2020-12-05T11:00,59,30,0,404,74
