Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Vap Pres (mBars),qc,Air Temp (F),qc,Rel Hum (%),qc,Dew Point (F),qc,Wind Speed (mph),qc,Wind Dir (0-360),qc,Soil Temp (F),qc
80,Fresno State,San Joaquin Valley,10/1/2022,0100,274,0.00, ,0.00, ,0, ,14.0, ,61.3, ,75, ,53.5, ,1.2, ,14, ,73.6, 
80,Fresno State,San Joaquin Valley,10/1/2022,0200,274,0.00, ,0.00, ,0, ,13.7, ,58.9, ,81, ,52.9, ,1.5, ,59, ,73.6, 
80,Fresno State,San Joaquin Valley,10/1/2022,0300,274,0.00, ,0.00, ,0, ,13.2, ,57.4, ,82, ,51.9, ,1.6, ,347, ,73.5, 
80,Fresno State,San Joaquin Valley,10/1/2022,0400,274,0.00, ,0.00, ,0, ,12.8, ,57.0, ,80, ,51.0, ,1.4, ,57, ,73.5, 
80,Fresno State,San Joaquin Valley,10/1/2022,0500,274,0.00, ,0.00, ,0, ,13.0, ,56.5, ,83, ,51.4, ,1.4, ,40, ,73.4, 
80,Fresno State,San Joaquin Valley,10/1/2022,0600,274,0.00, ,0.00, ,3, ,12.1, ,55.6, ,80, ,49.5, ,2.3, ,322, ,73.3, 
80,Fresno State,San Joaquin Valley,10/1/2022,0700,274,0.00, ,0.00, ,183, ,12.5, ,58.1, ,75, ,50.4, ,2.2, ,311, ,73.3, 
80,Fresno State,San Joaquin Valley,10/1/2022,0800,274,0.01, ,0.00, ,600, ,14.0, ,69.0, ,58, ,53.5, ,1.4, ,51, ,73.1, 
80,Fresno State,San Joaquin Valley,10/1/2022,0900,274,0.01, ,0.00, ,1015, ,13.3, ,75.3, ,44, ,52.1, ,2.5, ,70, ,73.0, 
80,Fresno State,San Joaquin Valley,10/1/2022,1000,274,0.02, ,0.00, ,1355, ,13.3, ,80.1, ,38, ,52.2, ,5.2, ,144, ,72.9, 
80,Fresno State,San Joaquin Valley,10/1/2022,1100,274,0.02, ,0.00, ,1575, ,13.6, ,83.5, ,35, ,52.8, ,4.6, ,159, ,72.8, 
80,Fresno State,San Joaquin Valley,10/1/2022,1200,274,0.02, ,0.00, ,1664, ,12.6, ,86.5, ,29, ,50.8, ,3.5, ,185, ,72.7, 
80,Fresno State,San Joaquin Valley,10/1/2022,1300,274,0.02, ,0.00, ,1622, ,12.1, ,89.0, ,26, ,49.6, ,3.8, ,281, ,72.6, 
80,Fresno State,San Joaquin Valley,10/1/2022,1400,274,0.02, ,0.00, ,1470, ,12.2, ,90.5, ,25, ,49.8, ,5.2, ,313, ,72.6, 
80,Fresno State,San Joaquin Valley,10/1/2022,1500,274,0.02, ,0.00, ,1193, ,11.7, ,90.8, ,24, ,48.8, ,5.6, ,286, ,72.6, 
80,Fresno State,San Joaquin Valley,10/1/2022,1600,274,0.01, ,0.00, ,819, ,11.5, ,90.9, ,23, ,48.1, ,5.0, ,307, ,72.6, 
80,Fresno State,San Joaquin Valley,10/1/2022,1700,274,0.01, ,0.00, ,389, ,11.2, ,89.4, ,24, ,47.6, ,6.0, ,314, ,72.7, 
80,Fresno State,San Joaquin Valley,10/1/2022,1800,274,0.00, ,0.00, ,53, ,11.3, ,84.0, ,28, ,47.7, ,4.7, ,312, ,72.8, 
80,Fresno State,San Joaquin Valley,10/1/2022,1900,274,0.00, ,0.00, ,0, ,12.2, ,80.8, ,34, ,49.8, ,5.9, ,310, ,72.9, 
80,Fresno State,San Joaquin Valley,10/1/2022,2000,274,0.00, ,0.00, ,0, ,13.1, ,78.8, ,39, ,51.8, ,7.6, ,317, ,73.0, 
80,Fresno State,San Joaquin Valley,10/1/2022,2100,274,0.00, ,0.00, ,0, ,13.6, ,75.5, ,45, ,52.8, ,7.6, ,321, ,73.1, 
80,Fresno State,San Joaquin Valley,10/1/2022,2200,274,0.00, ,0.00, ,0, ,14.1, ,71.9, ,53, ,53.8, ,7.0, ,315, ,73.1, 
80,Fresno State,San Joaquin Valley,10/1/2022,2300,274,0.00, ,0.00, ,0, ,14.4, ,69.1, ,59, ,54.2, ,7.0, ,314, ,73.2, 
80,Fresno State,San Joaquin Valley,10/1/2022,2400,274,0.00, ,0.00, ,0, ,14.5, ,66.3, ,66, ,54.5, ,6.0, ,312, ,73.2, 
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
