Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
80,Fresno State,San Joaquin Valley,10/25/2022,298,0.12, ,0.00, ,363, ,7.6, ,75.7, ,41.3, ,58.7, ,83, ,22, ,45, ,37.6, ,3.0, ,71.9, ,67.3, 
80,Fresno State,San Joaquin Valley,10/26/2022,299,0.13, ,0.00, ,387, ,8.6, ,71.3, ,40.3, ,56.4, ,87, ,33, ,55, ,40.6, ,4.7, ,112.9, ,66.9, 
80,Fresno State,San Joaquin Valley,10/27/2022,300,0.10, ,0.00, ,383, ,7.7, ,74.1, ,38.7, ,54.4, ,91, ,23, ,53, ,37.9, ,2.5, ,60.6, ,66.4, 
80,Fresno State,San Joaquin Valley,10/28/2022,301,0.11, ,0.00, ,325, ,7.6, ,76.4, ,39.8, ,59.0, ,86, ,22, ,45, ,37.6, ,3.3, ,78.8, ,66.0, 
80,Fresno State,San Joaquin Valley,10/29/2022,302,0.11, ,0.00, ,361, ,8.6, ,74.0, ,40.0, ,56.5, ,89, ,29, ,55, ,40.6, ,3.3, ,80.4, ,65.9, 
80,Fresno State,San Joaquin Valley,10/30/2022,303,0.11, ,0.00, ,367, ,8.6, ,75.8, ,41.2, ,56.3, ,90, ,26, ,56, ,40.6, ,2.4, ,57.4, ,65.6, 
80,Fresno State,San Joaquin Valley,10/31/2022,304,0.06, ,0.00, ,197, ,9.4, ,71.7, ,41.7, ,56.5, ,88, ,35, ,60, ,43.0, ,2.3, ,55.7, ,65.3, 
80,Fresno State,San Joaquin Valley,11/1/2022,305,0.08, ,0.14, ,230, ,10.5, ,68.8, ,42.4, ,54.3, ,96, ,41, ,73, ,45.7, ,4.8, ,115.5, ,65.1, 
80,Fresno State,San Joaquin Valley,11/2/2022,306,0.08, ,0.00, ,309, ,9.0, ,61.6, ,39.3, ,49.6, ,98, ,41, ,75, ,41.8, ,3.9, ,94.1, ,64.8, 
80,Fresno State,San Joaquin Valley,11/3/2022,307,0.08, ,0.01, ,327, ,8.2, ,58.8, ,38.5, ,47.0, ,95, ,49, ,75, ,39.4, ,4.6, ,111.0, ,64.1, 
80,Fresno State,San Joaquin Valley,11/4/2022,308,0.08, ,0.00, ,327, ,7.7, ,62.4, ,36.5, ,48.1, ,94, ,38, ,67, ,37.7, ,3.0, ,70.8, ,63.4, 
80,Fresno State,San Joaquin Valley,11/5/2022,309,0.08, ,0.00, ,307, ,8.6, ,65.7, ,35.3, ,51.5, ,97, ,40, ,66, ,40.7, ,2.7, ,64.2, ,63.0, 
80,Fresno State,San Joaquin Valley,11/6/2022,310,0.06, ,0.01, ,163, ,10.7, ,66.3, ,51.3, ,58.5, ,81, ,50, ,64, ,46.4, ,4.2, ,101.0, ,63.3, 
80,Fresno State,San Joaquin Valley,11/7/2022,311,0.01, ,0.29, ,89, ,11.9, ,56.3, ,44.8, ,52.1, ,98, ,80, ,90, ,49.2, ,4.8, ,116.1, ,63.6, 
80,Fresno State,San Joaquin Valley,11/8/2022,312,0.02, ,0.26, ,94, ,10.4, ,56.1, ,45.0, ,51.0, ,90, ,65, ,81, ,45.5, ,7.7,R,184.5,R,62.9, 
80,Fresno State,San Joaquin Valley,11/9/2022,313,0.07, ,0.01, ,279, ,9.1, ,60.0, ,38.6, ,48.9, ,97, ,52, ,77, ,42.0, ,3.3, ,79.8, ,62.4, 
80,Fresno State,San Joaquin Valley,11/10/2022,314,0.08, ,0.01, ,347,R,8.2, ,60.9, ,33.1, ,45.4, ,99, ,52, ,79, ,39.3, ,2.4, ,56.7, ,62.1, 
80,Fresno State,San Joaquin Valley,11/11/2022,315,0.07, ,0.00, ,301, ,8.5, ,61.0, ,33.3, ,46.1, ,99, ,51, ,80, ,40.2, ,2.1, ,50.5, ,61.5, 
80,Fresno State,San Joaquin Valley,11/12/2022,316,0.08, ,0.01, ,331, ,8.5, ,62.5, ,33.0, ,48.0, ,99, ,46, ,74, ,40.2, ,4.1, ,99.2, ,61.1, 
80,Fresno State,San Joaquin Valley,11/13/2022,317,0.04, ,0.00, ,195, ,8.7, ,55.4, ,37.3, ,44.3, ,99, ,64, ,88, ,40.8, ,3.4, ,81.6, ,61.0, 
80,Fresno State,San Joaquin Valley,11/14/2022,318,0.07, ,0.00, ,334,R,7.8, ,65.4, ,31.9, ,46.2, ,100, ,39, ,73, ,38.2, ,1.8, ,42.1, ,60.4, 
80,Fresno State,San Joaquin Valley,11/15/2022,319,0.08, ,0.01, ,330,R,7.8, ,64.1, ,31.4, ,46.1, ,99, ,43, ,74, ,38.3, ,2.1, ,50.6, ,60.0, 
80,Fresno State,San Joaquin Valley,11/16/2022,320,0.07, ,0.01, ,327,R,7.4, ,69.4, ,31.2, ,47.5, ,97, ,29, ,66, ,36.8, ,1.8, ,43.2, ,59.7, 
80,Fresno State,San Joaquin Valley,11/17/2022,321,0.08, ,0.00, ,292, ,7.5, ,67.8, ,30.9, ,48.1, ,98, ,32, ,65, ,37.0, ,2.3, ,54.0, ,59.3, 
80,Fresno State,San Joaquin Valley,11/18/2022,322,0.07, ,0.00, ,304, ,7.6, ,63.5, ,31.2, ,45.5, ,99, ,40, ,73, ,37.4, ,2.1, ,50.6, ,59.1, 
80,Fresno State,San Joaquin Valley,11/19/2022,323,0.07, ,0.00, ,310, ,7.3, ,65.4, ,30.9, ,45.3, ,98, ,33, ,70, ,36.3, ,1.9, ,45.7, ,58.7, 
80,Fresno State,San Joaquin Valley,11/20/2022,324,0.08, ,0.00, ,321,R,6.6, ,66.9, ,29.4, ,45.7, ,98, ,27, ,63, ,33.9, ,2.1, ,51.0, ,58.4, 
80,Fresno State,San Joaquin Valley,11/21/2022,325,0.07, ,0.00, ,291, ,6.9, ,64.1, ,28.8, ,44.6, ,98, ,36, ,68, ,34.9, ,1.9, ,44.9, ,58.0, 
80,Fresno State,San Joaquin Valley,11/22/2022,326,0.07, ,0.00, ,299, ,6.9, ,64.6, ,29.3, ,45.1, ,98, ,34, ,67, ,34.9, ,2.2, ,51.7, ,57.7, 
80,Fresno State,San Joaquin Valley,11/23/2022,327,0.06,H,0.00,H,368,R,7.6,H,64.8, ,36.3, ,51.7,H,98,H,37,H,58, ,37.4, ,1.9,H,46.0,H,57.3,H
80,Fresno State,San Joaquin Valley,11/24/2022,328,0.07, ,0.00, ,301, ,7.2, ,72.6, ,31.6, ,47.8, ,96, ,25, ,64, ,36.2, ,1.9, ,45.8, ,57.3, 
80,Fresno State,San Joaquin Valley,11/25/2022,329,0.07, ,0.00, ,279, ,6.6, ,72.8, ,31.1, ,48.4, ,93, ,22, ,57, ,34.0, ,1.8, ,44.0, ,57.2, 
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
