time,temperature_2m (°F),relativehumidity_2m (%),cloudcover (%),direct_radiation (W/m²),diffuse_radiation (W/m²)
2020-12-01T00:00,42.6,58,0,0,0
2020-12-01T01:00,41.4,68,0,0,0
2020-12-01T02:00,40.6,69,0,0,0
2020-12-01T03:00,39.6,67,0,0,0
2020-12-01T04:00,36,69,0,0,0
2020-12-01T05:00,35.7,67,0,0,0
2020-12-01T06:00,37.4,64,0,0,0
2020-12-01T07:00,38.1,60,0,0,0
2020-12-01T08:00,41.7,61,0,46,25
2020-12-01T09:00,48,46,0,180,55
2020-12-01T10:00,51.9,47,0,316,68
2020-12-01T11:00,55,42,0,415,75
2020-12-01T12:00,57.2,38,0,460,78
2020-12-01T13:00,60.4,36,0,448,76
2020-12-01T14:00,61.5,37,0,378,73
2020-12-01T15:00,61.9,37,0,261,63
2020-12-01T16:00,60.1,49,0,118,45
2020-12-01T17:00,58,42,0,12,10
2020-12-01T18:00,55,44,0,0,0
2020-12-01T19:00,49.9,55,0,0,0
2020-12-01T20:00,47.1,62,0,0,0
2020-12-01T21:00,44.2,69,0,0,0
2020-12-01T22:00,43.1,71,0,0,0
2020-12-01T23:00,42.6,73,0,0,0
2020-12-02T00:00,44.5,70,0,0,0
2020-12-02T01:00,41.2,73,0,0,0
2020-12-02T02:00,40.7,74,0,0,0
2020-12-02T03:00,40.3,74,1,0,0
2020-12-02T04:00,38.8,76,3,0,0
2020-12-02T05:00,37.9,75,3,0,0
2020-12-02T06:00,38.1,75,1,0,0
2020-12-02T07:00,38.7,70,1,0,0
2020-12-02T08:00,42.2,64,0,45,24
2020-12-02T09:00,49.8,56,0,178,54
2020-12-02T10:00,55,44,0,314,68
2020-12-02T11:00,58.4,41,0,417,75
2020-12-02T12:00,62.3,37,0,464,77
2020-12-02T13:00,65.4,31,0,451,76
2020-12-02T14:00,66.2,29,0,381,72
2020-12-02T15:00,66.7,31,0,264,63
2020-12-02T16:00,62.9,42,0,119,45
2020-12-02T17:00,60.2,35,0,12,10
2020-12-02T18:00,58.5,36,1,0,0
2020-12-02T19:00,53.5,42,2,0,0
2020-12-02T20:00,48.8,52,3,0,0
2020-12-02T21:00,47.8,52,2,0,0
2020-12-02T22:00,46.4,56,0,0,0
2020-12-02T23:00,46,56,0,0,0
2020-12-03T00:00,45.9,58,0,0,0
2020-12-03T01:00,43.7,56,0,0,0
2020-12-03T02:00,44.4,61,0,0,0
2020-12-03T03:00,42.5,61,0,0,0
2020-12-03T04:00,40.6,66,0,0,0
2020-12-03T05:00,39.4,66,0,0,0
2020-12-03T06:00,39,66,0,0,0
2020-12-03T07:00,39.3,64,0,0,0
2020-12-03T08:00,42.9,54,0,43,24
2020-12-03T09:00,54,48,0,175,54
2020-12-03T10:00,58.6,30,0,312,67
2020-12-03T11:00,61,26,0,412,75
2020-12-03T12:00,63.1,25,0,459,78
2020-12-03T13:00,65.5,21,0,448,77
2020-12-03T14:00,68.4,18,0,379,73
2020-12-03T15:00,68,18,0,263,63
2020-12-03T16:00,66.7,23,0,119,45
2020-12-03T17:00,63.9,20,0,12,10
2020-12-03T18:00,54.7,30,1,0,0
2020-12-03T19:00,48.2,42,4,0,0
2020-12-03T20:00,47.1,44,6,0,0
2020-12-03T21:00,47.1,42,3,0,0
2020-12-03T22:00,44.2,52,8,0,0
2020-12-03T23:00,42.9,57,14,0,0
2020-12-04T00:00,42.7,60,20,0,0
2020-12-04T01:00,41,63,6,0,0
2020-12-04T02:00,42.3,66,13,0,0
2020-12-04T03:00,41.7,69,15,0,0
2020-12-04T04:00,39.8,68,8,0,0
2020-12-04T05:00,37.9,68,2,0,0
2020-12-04T06:00,38,68,7,0,0
2020-12-04T07:00,38.2,66,0,0,0
2020-12-04T08:00,41,58,0,42,23
2020-12-04T09:00,49.2,49,0,174,54
2020-12-04T10:00,53.7,31,0,311,67
2020-12-04T11:00,56,29,0,412,74
2020-12-04T12:00,61.1,27,0,459,77
2020-12-04T13:00,64.3,23,0,447,76
2020-12-04T14:00,65.6,22,0,378,72
2020-12-04T15:00,66.3,21,0,262,62
2020-12-04T16:00,63.1,31,0,118,45
2020-12-04T17:00,61.4,23,0,12,10
2020-12-04T18:00,57,28,0,0,0
2020-12-04T19:00,49.4,38,0,0,0
2020-12-04T20:00,47.9,43,0,0,0
2020-12-04T21:00,43.4,55,0,0,0
2020-12-04T22:00,42.4,58,0,0,0
2020-12-04T23:00,42.2,58,9,0,0
2020-12-05T00:00,42.3,58,9,0,0
2020-12-05T01:00,41.2,61,13,0,0
2020-12-05T02:00,41.9,63,13,0,0
