"Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Precip.","Condition"
"11:53 PM","73ʡF","47ʡF","39ʡ%","CALM","0ʡmph","0ʡmph","29.41ʡin","0.0ʡin","Fair"
"12:53 AM","71ʡF","48ʡF","44ʡ%","CALM","0ʡmph","0ʡmph","29.42ʡin","0.0ʡin","Fair"
"1:53 AM","68ʡF","52ʡF","56ʡ%","CALM","0ʡmph","0ʡmph","29.42ʡin","0.0ʡin","Fair"
"2:53 AM","68ʡF","52ʡF","56ʡ%","CALM","0ʡmph","0ʡmph","29.41ʡin","0.0ʡin","Fair"
"3:53 AM","66ʡF","52ʡF","60ʡ%","CALM","0ʡmph","0ʡmph","29.42ʡin","0.0ʡin","Fair"
"4:53 AM","65ʡF","50ʡF","58ʡ%","CALM","0ʡmph","0ʡmph","29.42ʡin","0.0ʡin","Fair"
"5:53 AM","64ʡF","51ʡF","63ʡ%","CALM","0ʡmph","0ʡmph","29.43ʡin","0.0ʡin","Fair"
"6:53 AM","66ʡF","51ʡF","59ʡ%","CALM","0ʡmph","0ʡmph","29.44ʡin","0.0ʡin","Fair"
"7:53 AM","71ʡF","52ʡF","51ʡ%","CALM","0ʡmph","0ʡmph","29.45ʡin","0.0ʡin","Fair"
"8:53 AM","77ʡF","52ʡF","42ʡ%","ESE","6ʡmph","0ʡmph","29.46ʡin","0.0ʡin","Fair"
"9:53 AM","81ʡF","53ʡF","38ʡ%","SE","8ʡmph","0ʡmph","29.45ʡin","0.0ʡin","Fair"
"10:53 AM","83ʡF","52ʡF","34ʡ%","CALM","0ʡmph","0ʡmph","29.44ʡin","0.0ʡin","Fair"
"11:53 AM","87ʡF","50ʡF","28ʡ%","CALM","0ʡmph","0ʡmph","29.42ʡin","0.0ʡin","Fair"
"12:53 PM","90ʡF","48ʡF","24ʡ%","WSW","6ʡmph","0ʡmph","29.41ʡin","0.0ʡin","Fair"
"1:53 PM","91ʡF","46ʡF","21ʡ%","N","6ʡmph","0ʡmph","29.39ʡin","0.0ʡin","Fair"
"2:53 PM","91ʡF","45ʡF","20ʡ%","WNW","5ʡmph","0ʡmph","29.38ʡin","0.0ʡin","Fair"
"3:53 PM","93ʡF","44ʡF","18ʡ%","WNW","7ʡmph","0ʡmph","29.37ʡin","0.0ʡin","Fair"
"4:53 PM","91ʡF","47ʡF","22ʡ%","WNW","9ʡmph","0ʡmph","29.37ʡin","0.0ʡin","Fair"
"5:53 PM","87ʡF","47ʡF","25ʡ%","NW","8ʡmph","0ʡmph","29.39ʡin","0.0ʡin","Fair"
"6:53 PM","84ʡF","51ʡF","32ʡ%","NW","8ʡmph","0ʡmph","29.40ʡin","0.0ʡin","Fair"
"7:53 PM","81ʡF","52ʡF","36ʡ%","NW","15ʡmph","0ʡmph","29.42ʡin","0.0ʡin","Fair"
"8:53 PM","77ʡF","53ʡF","43ʡ%","NW","12ʡmph","0ʡmph","29.44ʡin","0.0ʡin","Fair"
"9:53 PM","74ʡF","54ʡF","50ʡ%","NW","12ʡmph","0ʡmph","29.45ʡin","0.0ʡin","Fair"
"10:53 PM","71ʡF","55ʡF","57ʡ%","NW","12ʡmph","0ʡmph","29.46ʡin","0.0ʡin","Fair"









