"Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Precip.","Condition"
"12:53 AM","67ʡF","52ʡF","59ʡ%","E","3ʡmph","0ʡmph","29.65ʡin","0.0ʡin","Fair"
"1:53 AM","66ʡF","51ʡF","59ʡ%","E","5ʡmph","0ʡmph","29.65ʡin","0.0ʡin","Fair"
"2:53 AM","65ʡF","50ʡF","58ʡ%","E","5ʡmph","0ʡmph","29.65ʡin","0.0ʡin","Fair"
"3:53 AM","64ʡF","50ʡF","60ʡ%","E","3ʡmph","0ʡmph","29.64ʡin","0.0ʡin","Fair"
"4:53 AM","63ʡF","50ʡF","63ʡ%","CALM","0ʡmph","0ʡmph","29.63ʡin","0.0ʡin","Fair"
"5:53 AM","62ʡF","49ʡF","62ʡ%","ENE","3ʡmph","0ʡmph","29.63ʡin","0.0ʡin","Fair"
"6:53 AM","62ʡF","48ʡF","60ʡ%","CALM","0ʡmph","0ʡmph","29.63ʡin","0.0ʡin","Partly Cloudy"
"7:53 AM","64ʡF","47ʡF","54ʡ%","E","3ʡmph","0ʡmph","29.63ʡin","0.0ʡin","Mostly Cloudy"
"8:53 AM","67ʡF","47ʡF","49ʡ%","SE","3ʡmph","0ʡmph","29.64ʡin","0.0ʡin","Mostly Cloudy"
"9:53 AM","74ʡF","50ʡF","43ʡ%","SE","3ʡmph","0ʡmph","29.64ʡin","0.0ʡin","Mostly Cloudy"
"10:53 AM","77ʡF","52ʡF","42ʡ%","SSE","6ʡmph","0ʡmph","29.64ʡin","0.0ʡin","Mostly Cloudy"
"11:53 AM","80ʡF","51ʡF","36ʡ%","ESE","6ʡmph","0ʡmph","29.62ʡin","0.0ʡin","Mostly Cloudy"
"12:53 PM","82ʡF","50ʡF","33ʡ%","SSW","5ʡmph","0ʡmph","29.59ʡin","0.0ʡin","Mostly Cloudy"
"1:53 PM","85ʡF","47ʡF","27ʡ%","SSE","6ʡmph","0ʡmph","29.55ʡin","0.0ʡin","Mostly Cloudy"
"2:53 PM","88ʡF","47ʡF","24ʡ%","W","5ʡmph","0ʡmph","29.52ʡin","0.0ʡin","Mostly Cloudy"
"3:53 PM","90ʡF","46ʡF","22ʡ%","ENE","3ʡmph","0ʡmph","29.50ʡin","0.0ʡin","Partly Cloudy"
"4:53 PM","90ʡF","44ʡF","20ʡ%","CALM","0ʡmph","0ʡmph","29.48ʡin","0.0ʡin","Partly Cloudy"
"5:53 PM","88ʡF","43ʡF","21ʡ%","CALM","0ʡmph","0ʡmph","29.47ʡin","0.0ʡin","Partly Cloudy"
"6:53 PM","82ʡF","50ʡF","33ʡ%","E","3ʡmph","0ʡmph","29.48ʡin","0.0ʡin","Partly Cloudy"
"7:53 PM","80ʡF","50ʡF","35ʡ%","CALM","0ʡmph","0ʡmph","29.49ʡin","0.0ʡin","Partly Cloudy"
"8:53 PM","78ʡF","51ʡF","39ʡ%","VAR","3ʡmph","0ʡmph","29.49ʡin","0.0ʡin","Partly Cloudy"
"9:53 PM","72ʡF","53ʡF","51ʡ%","NW","5ʡmph","0ʡmph","29.50ʡin","0.0ʡin","Partly Cloudy"
"10:53 PM","70ʡF","52ʡF","53ʡ%","CALM","0ʡmph","0ʡmph","29.51ʡin","0.0ʡin","Partly Cloudy"
"11:53 PM","69ʡF","50ʡF","51ʡ%","CALM","0ʡmph","0ʡmph","29.51ʡin","0.0ʡin","Partly Cloudy"









