latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.0,-120.0,123.0,-28800,America/Los_Angeles,PST

time,temperature_2m (°F),relativehumidity_2m (%),cloudcover (%),direct_radiation (W/m²),diffuse_radiation (W/m²)
2020-12-01T00:00,42.9,64,0,0.0,0.0
2020-12-01T01:00,39.9,78,0,0.0,0.0
2020-12-01T02:00,39.2,75,0,0.0,0.0
2020-12-01T03:00,37.4,76,0,0.0,0.0
2020-12-01T04:00,32.8,81,0,0.0,0.0
2020-12-01T05:00,33.0,79,0,0.0,0.0
2020-12-01T06:00,34.0,78,0,0.0,0.0
2020-12-01T07:00,33.1,79,0,0.0,0.0
2020-12-01T08:00,37.8,70,0,41.0,23.0
2020-12-01T09:00,46.0,50,0,169.0,55.0
2020-12-01T10:00,51.5,46,0,304.0,68.0
2020-12-01T11:00,54.8,42,0,404.0,76.0
2020-12-01T12:00,57.1,37,0,451.0,79.0
2020-12-01T13:00,60.3,35,0,441.0,78.0
2020-12-01T14:00,61.8,33,0,374.0,74.0
2020-12-01T15:00,62.3,32,0,260.0,64.0
2020-12-01T16:00,61.8,34,0,119.0,46.0
2020-12-01T17:00,57.5,37,0,13.0,10.0
2020-12-01T18:00,52.7,46,0,0.0,0.0
2020-12-01T19:00,47.5,58,0,0.0,0.0
2020-12-01T20:00,45.2,64,0,0.0,0.0
2020-12-01T21:00,43.3,65,0,0.0,0.0
2020-12-01T22:00,41.4,69,0,0.0,0.0
2020-12-01T23:00,41.2,71,0,0.0,0.0
2020-12-02T00:00,42.4,71,0,0.0,0.0
2020-12-02T01:00,38.5,77,0,0.0,0.0
2020-12-02T02:00,36.8,82,1,0.0,0.0
2020-12-02T03:00,37.1,79,3,0.0,0.0
2020-12-02T04:00,35.7,80,11,0.0,0.0
2020-12-02T05:00,33.5,82,10,0.0,0.0
2020-12-02T06:00,33.4,83,11,0.0,0.0
2020-12-02T07:00,35.1,76,4,0.0,0.0
2020-12-02T08:00,39.5,68,0,40.0,22.0
2020-12-02T09:00,47.8,54,0,168.0,53.0
2020-12-02T10:00,53.0,42,1,302.0,68.0
2020-12-02T11:00,57.0,40,1,403.0,77.0
2020-12-02T12:00,61.4,36,2,452.0,78.0
2020-12-02T13:00,64.8,30,6,442.0,78.0
2020-12-02T14:00,66.3,27,4,375.0,73.0
2020-12-02T15:00,66.7,28,1,261.0,64.0
2020-12-02T16:00,64.0,29,0,119.0,46.0
2020-12-02T17:00,57.5,38,2,13.0,10.0
2020-12-02T18:00,55.8,41,5,0.0,0.0
2020-12-02T19:00,49.5,53,9,0.0,0.0
2020-12-02T20:00,47.7,55,9,0.0,0.0
2020-12-02T21:00,46.9,54,7,0.0,0.0
2020-12-02T22:00,45.5,55,0,0.0,0.0
2020-12-02T23:00,44.4,58,0,0.0,0.0
2020-12-03T00:00,44.5,60,0,0.0,0.0
2020-12-03T01:00,43.2,57,0,0.0,0.0
2020-12-03T02:00,42.3,67,0,0.0,0.0
2020-12-03T03:00,39.8,70,0,0.0,0.0
2020-12-03T04:00,38.2,75,0,0.0,0.0
2020-12-03T05:00,37.1,76,0,0.0,0.0
2020-12-03T06:00,37.7,74,0,0.0,0.0
2020-12-03T07:00,38.6,70,0,0.0,0.0
2020-12-03T08:00,44.1,53,0,38.0,22.0
2020-12-03T09:00,54.9,43,0,166.0,53.0
2020-12-03T10:00,60.0,29,0,301.0,68.0
2020-12-03T11:00,63.0,22,0,403.0,75.0
2020-12-03T12:00,65.7,19,0,451.0,79.0
2020-12-03T13:00,68.4,14,0,442.0,78.0
2020-12-03T14:00,71.3,13,0,375.0,74.0
2020-12-03T15:00,71.1,13,0,262.0,64.0
2020-12-03T16:00,71.5,9,0,120.0,46.0
2020-12-03T17:00,68.3,11,5,13.0,10.0
2020-12-03T18:00,59.2,16,11,0.0,0.0
2020-12-03T19:00,49.8,27,20,0.0,0.0
2020-12-03T20:00,47.7,30,3,0.0,0.0
2020-12-03T21:00,45.6,33,14,0.0,0.0
2020-12-03T22:00,43.8,40,24,0.0,0.0
2020-12-03T23:00,42.8,44,25,0.0,0.0
2020-12-04T00:00,42.0,46,30,0.0,0.0
2020-12-04T01:00,39.6,51,29,0.0,0.0
2020-12-04T02:00,41.1,49,27,0.0,0.0
2020-12-04T03:00,41.0,51,26,0.0,0.0
2020-12-04T04:00,39.7,51,26,0.0,0.0
2020-12-04T05:00,37.0,56,14,0.0,0.0
2020-12-04T06:00,36.5,63,2,0.0,0.0
2020-12-04T07:00,36.3,68,0,0.0,0.0
2020-12-04T08:00,40.3,58,0,36.0,21.0
2020-12-04T09:00,48.2,45,0,162.0,53.0
2020-12-04T10:00,53.0,30,0,297.0,67.0
